freq,Awake_DP,Awake_NFd,Sed_DP_11.36,Sed_NF_11.36,Sed_DP_12.15,Sed_NF_12.15,Sed_DP_12.53,Sed_NF_12.53,Sed_DP_13.13,Sed_NF_13.13,Awake_SF,Awake_NFs,Sed_SF_11.43,Sed_NF_11.43,Sed_SF_12.23,Sed_NF_12.23,Sed_SF_13.02,Sed_NF_13.02,Sed_SF_13.39,Sed_NF_13.39,Awake_phase,Sed_phase_11.43,Sed_phase_12.23,Sed_phase_13.02,Sed_phase_13.39
1.257644412,23.92458489,-18.00372892,31.82160677,-13.04550398,32.57923135,-12.54775017,30.03728623,-12.2769263,32.56377635,-12.97006613,6.31081997,-21.46752707,7.772986845,-17.63258409,9.473057667,-24.14159626,7.855543281,-20.96798691,10.31662834,-19.77392323,-0.532198702,-0.554311566,-0.546630263,-0.531823287,-0.508593906
1.266203077,24.04714255,-18.15956958,31.77103673,-13.07236164,32.53152944,-12.97685249,30.01776895,-11.66357793,32.51435397,-14.16991115,5.758499238,-20.1208638,8.0135436,-17.03005954,9.601704422,-22.64452441,8.153418561,-19.40159499,10.54051005,-18.16154118,-0.535082131,-0.555795593,-0.551912281,-0.532161304,-0.512325796
1.274819986,24.14405659,-18.87174756,31.80040409,-12.7133861,32.56226018,-13.36982823,30.07834216,-11.27343062,32.54289755,-15.19206462,5.267396386,-22.3043874,8.330316336,-18.64292106,9.816689212,-23.59568029,8.492971927,-20.48888023,10.78364313,-18.94694763,-0.54099735,-0.560635598,-0.559192995,-0.540386633,-0.521395035
1.283495536,24.23318723,-20.16458334,31.84677571,-12.36170254,32.60877487,-13.98784263,30.15657645,-11.2670266,32.58694175,-15.97716408,4.798714184,-23.3114211,8.675584139,-21.28245038,10.07263776,-24.78994679,8.873298394,-22.41199519,11.06974252,-20.19048322,-0.547592323,-0.565821147,-0.566668909,-0.54947963,-0.531112257
1.292230125,24.31990256,-22.15296693,31.88962255,-12.2106858,32.65097697,-15.03300906,30.23232318,-11.7486458,32.62655439,-16.55966694,4.329375727,-21.24343277,8.852350697,-25.0943187,10.17267915,-25.45005035,9.101182776,-24.90508731,11.2116229,-21.41434892,-0.554386715,-0.570792921,-0.57397495,-0.558111356,-0.540530097
1.301024157,24.4045594,-24.99575712,31.92798202,-12.24433154,32.68837001,-16.63296548,30.30509802,-12.79955552,32.66137107,-17.06298946,3.867713634,-18.54869827,8.884210402,-31.40059902,10.13573826,-25.36755569,9.193600702,-28.07032878,11.22420975,-22.38664281,-0.561456349,-0.575719066,-0.581116533,-0.566303621,-0.549634585
1.309878034,24.51146969,-28.34766511,31.83383537,-12.45020627,32.59331473,-18.84174005,30.24731521,-14.633529,32.56392635,-17.72843329,3.553209974,-21.30667195,8.911268269,-28.55291047,9.963263704,-28.76366085,9.168926555,-22.5739853,11.04114026,-21.73078305,-0.571562607,-0.585464288,-0.589105655,-0.575220133,-0.559706332
1.318792165,24.63599188,-29.11474844,31.62331082,-12.65725138,32.38217624,-20.85940023,30.07585886,-17.31190235,32.35082492,-18.60015062,3.333511287,-24.1515426,9.072007557,-26.36668779,9.919105365,-34.36964665,9.275099705,-19.19502328,10.99936666,-21.1149847,-0.581758376,-0.594803913,-0.59712764,-0.583870935,-0.569829106
1.327766959,24.75481057,-26.22723499,31.41024296,-12.71261132,32.16896459,-20.95137277,29.9051262,-20.47311657,32.13635975,-19.58979918,3.139102765,-24.73849664,9.270912558,-24.59864833,9.911721702,-45.65223707,9.418018916,-16.74997115,11.00735042,-20.5346534,-0.591960503,-0.603702445,-0.605141704,-0.592218912,-0.579921204
1.33680283,24.86719614,-23.4008489,31.19461672,-12.73437532,31.95372681,-19.45504295,29.73558502,-22.47973707,31.92081541,-20.7288587,2.989508763,-24.09309304,9.422128424,-24.10515561,9.945977,-41.03983696,9.502496465,-16.11497614,11.00290452,-20.46878455,-0.601952111,-0.612246004,-0.613368609,-0.602233129,-0.589827511
